model_id,model_family,feature_set,protocol,augmentation,paper_id,paper_label,n_predictions,n_unique_rows,R2,RMSE,MAE,MAPE,MBE,NRMSE,n
rf_baseline,random_forest,all,extrapolation_grouped,rd,doi::10.1016/j.combustflame.2020.12.005,"Carney, Ama, Yanjun Li, Ya-Ting Liao, Sandra Olson, and Paul Ferkul. ""Concurrent-flow flame spread over thin discrete fu",16,8,-13.347335930141282,0.1331260557055117,0.1253576642142927,87.12022643988398,-0.1253576642142927,0.9509003978965124,16
rf_baseline,random_forest,all,extrapolation_grouped,rd,doi::10.1007/s10694-019-00878-w,"Vetturini, Anthony, Wohan Cui, Ya-Ting Liao, Sandra Olson, and Paul Ferkul. ""Flame Spread Over Ultra-thin Solids: Effect",44,11,-1.0601263890275625,0.07728558071806,0.0651504947119445,330.1595064709024,-0.0398424961019233,0.9806683445595346,44
rf_baseline,random_forest,all,extrapolation_grouped,rd,doi::10.1080/00102200490276773,"Olson, Sandra L., et al. “Sounding Rocket Microgravity Experiments Elucidating Diffusive and Radiative Transport Effects",162,54,-0.7236956245191442,0.0208222075875632,0.0167518514647431,65.91296575825018,-0.015953972106814,0.7799661554719858,162
rf_baseline,random_forest,all,extrapolation_grouped,rd,citation::son youngjin paul d ronney and suleyman gokoglu comparison of carbon dioxide and helium as fire extinguishing agents for spacecraft nasa cp 2004 213205 vol2 2004 pp 409 418,"Son, Youngjin, Paul D. Ronney, and Suleyman Gokoglu. ""Comparison of Carbon Dioxide and Helium as Fire Extinguishing Agen",89,89,0.0429562268671124,0.0201796398111543,0.0147561464822607,87.29891425290369,-0.0070397457599733,0.7578455871624236,89
rf_baseline,random_forest,all,extrapolation_grouped,rd,citation::kimzey john howard flammability during weightlessness nasa technical memorandum nasa tm x 58001 may 1966,"Kimzey, John Howard. ""Flammability During Weightlessness."" NASA Technical Memorandum NASA TM X-58001, May 1966.",15,15,-5.567213155504012,0.0201244396477324,0.0141376620847484,373.4676682546234,0.0118712141410879,2.1687376587110205,15
rf_baseline,random_forest,all,extrapolation_grouped,rd,doi::10.1016/s1540-7489(02)80315-7,"Son, Youngjin, and Paul D. Ronney. ""Radiation-Driven Flame Spread over Thermally Thick Fuels in Quiescent 0 Environments",80,40,-0.1806118003408692,0.0194065046379826,0.0164630845620891,166.49041453527556,0.0121942282180731,0.6790180155171024,80
rf_baseline,random_forest,all,extrapolation_grouped,rd,citation::andracchio charles r and thomas h cochran burning of solids in oxygen rich environments in normal and reduced gravity nasa technical memorandum x 3055 national aeronautics and space administration may 1974,"Andracchio, Charles R., and Thomas H. Cochran. Burning of Solids in Oxygen-Rich Environments in Normal and Reduced Gravi",36,18,0.5780401222768572,0.0184408024710533,0.0133971984449704,34.6939154847493,-0.0073356385295836,0.3970507709078476,36
rf_baseline,random_forest,all,extrapolation_grouped,rd,doi::10.1016/j.combustflame.2009.01.015,"Olson, Sandra L., et al. “Experimental Comparison of Opposed and Concurrent Flame Spread in a Forced Convective 0 Enviro",208,52,-0.9409661527327228,0.017883588189428,0.0126315391607554,58.09357594713032,-0.0070139801952154,0.8403638043107354,208
rf_baseline,random_forest,all,extrapolation_grouped,rd,citation::grayson g d k r sacksteder p v ferkul and j s t ien flame spreading over a thin solid in low speed concurrent flow drop tower experimental results and comparison with theory 0 science and technology vii 2 1994,"Grayson, G. D., K. R. Sacksteder, P. V. Ferkul, and J. S. T’ien. 'Flame Spreading Over a Thin Solid in Low-speed Concurr",72,18,-50.82614058703592,0.0156944744963891,0.0084914619920359,173.15763840523783,0.0075100073898074,2.9643288660546228,72
rf_baseline,random_forest,all,extrapolation_grouped,rd,citation::mell w e s l olson and t kashiwagi flame spread along free edges of thermally thin samples in 0 proceedings of the combustion institute vol 28 no 2 2000 pp 2843 2849,"Mell, W. E., S. L. Olson, and T. Kashiwagi. ""Flame Spread along Free Edges of Thermally Thin Samples in 0."" Proceedings ",44,11,-724.5248399886033,0.0145176433342385,0.0111119800423602,604.3827042740381,0.0111119800423602,7.308653394811158,44
